"Age","2021","2022","2023","2024","2025"
1,0.882976568251566,0.842381335679573,0.818365709902431,1.54467188163826,1.05663912362203
2,0.919881165262014,0.874419372781076,0.830724797420551,0.892978169574429,1.2457688204182
3,0.942380552271342,0.907780353880955,0.848381622820762,0.830938880032724,0.808215035898968
4,0.962565569972356,0.941255669134485,0.888255069667659,0.803375432449259,0.664663662762085
5,0.985369214549092,0.956410105405595,0.93541886115457,0.820646302761954,0.61241665020341
6,0.987545411930799,0.98052529636748,0.910413770959024,0.933623646383036,0.702596053921675
7,0.994864826456499,0.991033868312681,1.00911224807083,0.722258035193682,1.02185750769953
8,0.964265204259599,0.949122615610504,0.935478965639402,1.1652373600962,0.67645743109658
9,0.949818851413133,0.924497394966631,0.889564316840377,0.739554835356961,1.07682827524253
10,0.922820022403916,0.899716246409428,0.851251405265034,0.686793049087832,0.538186898125773
