"Age","2021","2022","2023","2024","2025"
1,0.882976568251565,0.842381335679573,0.818365709902431,1.12990155827318,0.959500083368015
2,0.919881165262014,0.874419372781076,0.830724797420551,0.786629506531276,1.18195529467658
3,0.942380552271342,0.907780353880955,0.848381622820762,0.786276538310509,0.806158846640628
4,0.962565569972356,0.941255669134485,0.888255069667659,0.783710005729024,0.685752006726533
5,0.985369214549092,0.956410105405595,0.93541886115457,0.820207337101209,0.636040869968199
6,0.987545411930799,0.98052529636748,0.910413770959024,0.941079202120339,0.68859037487146
7,0.994864826456499,0.991033868312681,1.00911224807083,0.70463856584801,0.981793240394267
8,0.964265204259599,0.949122615610504,0.935478965639402,1.19436648708081,0.674604084888277
9,0.949818851413133,0.92449739496663,0.889564316840377,0.820428235146424,0.998053297826637
10,0.922820022403916,0.899716246409428,0.851251405265034,0.739218575218898,0.539434059694494
