Stock,Country,Year,CatchCategory,ReportingCategory,CATONRaisedOrImported,MisreportedArea,Area,Season,SeasonType,Fleet,CATON,Effort,UnitEffort,OfficialLandings,SampledOrEstimated,Sex,AgeOrLength,AgeOrLengthType,CANUM,WECA,LECA,SampledCatch,No. of Length Samples,No. of Length Measured,No. of Age Samples,No. Age Readings
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,2,Age,12.75,111,234.9,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,3,Age,74.97,125,244,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,4,Age,39.02,154,260.5,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,5,Age,156.87,165.05,265.63,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,6,Age,30.92,228.12,291.4,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,7,Age,36,293.94,317.77,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,8,Age,19.85,262.61,301.56,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,9,Age,76.52,285.54,315.07,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,10,Age,91.94,356.52,340.22,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,11,Age,85.85,347.59,337.4,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,12,Age,38.73,410.93,359.98,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,13,Age,35.61,420.37,363.19,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,14,Age,18.26,429.29,366.19,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.4.c,1,Quarter,TrawlPlus,353,148981,kWd,0,Estimated_Distribution,Undetermined,15,Age,364.31,447.33,371.24,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.7.d,1,Quarter,GTR_DEF_all_0_0_all,207,884,kWd,0,Estimated_Distribution,Undetermined,2,Age,7.48,111,234.9,0,0,0,0,0
hom.27.3a4bc7d,Belgium,2019,Landings,Reported,Imported_Data, ,27.7.d,1,Quarter,GTR_DEF_all_0_0_all,207,884,kWd,0,Estimated_Distribution,Undetermined,3,Age,43.96,125,244,0,0,0,0,0
